secondary headers,primary headers,plenum volume,intake runners
6,365,9.499999999999998,2.75
6,365,9.499999999999998,3.0
6,365,9.499999999999998,3.25
6,365,9.499999999999998,3.5
6,365,9.499999999999998,3.75
6,365,9.499999999999998,4.0
6,365,9.599999999999998,2
6,365,9.599999999999998,2.25
6,365,9.599999999999998,2.5
6,365,9.599999999999998,2.75
6,365,9.599999999999998,3.0
6,365,9.599999999999998,3.25
6,365,9.599999999999998,3.5
6,365,9.599999999999998,3.75
6,365,9.599999999999998,4.0
6,365,9.699999999999998,2
6,365,9.699999999999998,2.25
6,365,9.699999999999998,2.5
6,365,9.699999999999998,2.75
6,365,9.699999999999998,3.0
6,365,9.699999999999998,3.25
6,365,9.699999999999998,3.5
6,365,9.699999999999998,3.75
6,365,9.699999999999998,4.0
6,365,9.799999999999997,2
6,365,9.799999999999997,2.25
6,365,9.799999999999997,2.5
6,365,9.799999999999997,2.75
6,365,9.799999999999997,3.0
6,365,9.799999999999997,3.25
6,365,9.799999999999997,3.5
6,365,9.799999999999997,3.75
6,365,9.799999999999997,4.0
6,365,9.899999999999997,2
6,365,9.899999999999997,2.25
6,365,9.899999999999997,2.5
6,365,9.899999999999997,2.75
6,365,9.899999999999997,3.0
6,365,9.899999999999997,3.25
6,365,9.899999999999997,3.5
6,365,9.899999999999997,3.75
6,365,9.899999999999997,4.0
6,365,9.999999999999996,2
6,365,9.999999999999996,2.25
6,365,9.999999999999996,2.5
6,365,9.999999999999996,2.75
6,365,9.999999999999996,3.0
6,365,9.999999999999996,3.25
6,365,9.999999999999996,3.5
6,365,9.999999999999996,3.75
6,365,9.999999999999996,4.0
6,365,10.099999999999996,2
6,365,10.099999999999996,2.25
6,365,10.099999999999996,2.5
6,365,10.099999999999996,2.75
6,365,10.099999999999996,3.0
6,365,10.099999999999996,3.25
6,365,10.099999999999996,3.5
6,365,10.099999999999996,3.75
6,365,10.099999999999996,4.0
6,365,10.199999999999996,2
6,365,10.199999999999996,2.25
6,365,10.199999999999996,2.5
6,365,10.199999999999996,2.75
6,365,10.199999999999996,3.0
6,365,10.199999999999996,3.25
6,365,10.199999999999996,3.5
6,365,10.199999999999996,3.75
6,365,10.199999999999996,4.0
6,365,10.299999999999995,2
6,365,10.299999999999995,2.25
6,365,10.299999999999995,2.5
6,365,10.299999999999995,2.75
6,365,10.299999999999995,3.0
6,365,10.299999999999995,3.25
6,365,10.299999999999995,3.5
6,365,10.299999999999995,3.75
6,365,10.299999999999995,4.0
6,365,10.399999999999995,2
6,365,10.399999999999995,2.25
6,365,10.399999999999995,2.5
6,365,10.399999999999995,2.75
6,365,10.399999999999995,3.0
6,365,10.399999999999995,3.25
6,365,10.399999999999995,3.5
6,365,10.399999999999995,3.75
6,365,10.399999999999995,4.0
6,365,10.499999999999995,2
6,365,10.499999999999995,2.25
6,365,10.499999999999995,2.5
6,365,10.499999999999995,2.75
6,365,10.499999999999995,3.0
6,365,10.499999999999995,3.25
6,365,10.499999999999995,3.5
6,365,10.499999999999995,3.75
6,365,10.499999999999995,4.0
6,365,10.599999999999994,2
6,365,10.599999999999994,2.25
6,365,10.599999999999994,2.5
6,365,10.599999999999994,2.75
6,365,10.599999999999994,3.0
6,365,10.599999999999994,3.25
6,365,10.599999999999994,3.5
6,365,10.599999999999994,3.75
6,365,10.599999999999994,4.0
6,365,10.699999999999994,2
6,365,10.699999999999994,2.25
6,365,10.699999999999994,2.5
6,365,10.699999999999994,2.75
6,365,10.699999999999994,3.0
6,365,10.699999999999994,3.25
6,365,10.699999999999994,3.5
6,365,10.699999999999994,3.75
6,365,10.699999999999994,4.0
6,365,10.799999999999994,2
6,365,10.799999999999994,2.25
6,365,10.799999999999994,2.5
6,365,10.799999999999994,2.75
6,365,10.799999999999994,3.0
6,365,10.799999999999994,3.25
6,365,10.799999999999994,3.5
6,365,10.799999999999994,3.75
6,365,10.799999999999994,4.0
6,365,10.899999999999993,2
